case_idx,conv_id,user_message,model,provider,tool_match,tools_called,ref_tools,expected_tools,input_tokens,output_tokens,total_tokens,elapsed_s,response_preview,error
6,7oJSDwdZCTdlboYBrQmP,What’s my highest category,claude-haiku-4-5,anthropic,DIFF,get_budget_remaining,get_spending_by_category,(none),16689,470,17159,19.02,Your highest spending category is OTHER at $367.11 (367% of budget - significantly over).  Here's yo,
6,7oJSDwdZCTdlboYBrQmP,What’s my highest category,gpt-5-mini,openai,DIFF,(none),get_spending_by_category,(none),5498,376,5874,10.83,"Do you mean highest category for this month (Feb 2026), last month, or all time? Which period should",
6,7oJSDwdZCTdlboYBrQmP,What’s my highest category,gpt-5.1,openai,OK,get_spending_by_category,get_spending_by_category,(none),13476,117,13593,10.01,"Your highest spending category this month is RENT at $1,400.00.  Next highest: - FOOD_OUT: $412.08 -",
6,7oJSDwdZCTdlboYBrQmP,What’s my highest category,gemini-3.1-pro-preview,google,DIFF,(none),get_spending_by_category,(none),0,0,0,4.92,"[ERROR: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota,","429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_requests_per_model, limit: 25, model: gemini-3.1-pro\nPlease retry in 17.311267893s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_requests_per_model', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel', 'quotaDimensions': {'model': 'gemini-3.1-pro', 'location': 'global'}, 'quotaValue': '25'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '17s'}]}}"
6,7oJSDwdZCTdlboYBrQmP,What’s my highest category,gemini-3-flash-preview,google,OK,get_spending_by_category,get_spending_by_category,(none),13760,146,13906,15.97,"Your highest spending category this month is RENT at $1,400.00.  Excluding rent, your top categories",
7,rgb2kpccEFCfTP6gOAiD,How much money do I have left to spend this month,claude-sonnet-4-6,anthropic,REF,get_budget_remaining,get_budget_remaining,get_budget_remaining,15790,370,16160,15.23,Here is your budget status for February 2026:  FOOD_OUT: $162.92 left ($412.08 / $575) RENT: $0 left,
7,rgb2kpccEFCfTP6gOAiD,How much money do I have left to spend this month,claude-haiku-4-5,anthropic,OK,get_budget_remaining,get_budget_remaining,get_budget_remaining,15800,361,16161,12.36,Budget Remaining:  FOOD_OUT: $162.92 remaining of $575 (71% used) RENT: $0 remaining of $1400 (100% ,
7,rgb2kpccEFCfTP6gOAiD,How much money do I have left to spend this month,gpt-5-mini,openai,OK,get_budget_remaining,get_budget_remaining,get_budget_remaining,10301,995,11296,19.45,From the data you gave for OTHER this month:  Spent $367.11 of $100.00 cap (367.11% of budget) — you,
7,rgb2kpccEFCfTP6gOAiD,How much money do I have left to spend this month,gpt-5.1,openai,DIFF,(none),get_budget_remaining,get_budget_remaining,5126,98,5224,5.46,"I can check that, but I need your auth token to access your budget data.  Reply with your Firebase A",
7,rgb2kpccEFCfTP6gOAiD,How much money do I have left to spend this month,gemini-3.1-pro-preview,google,OK,get_budget_remaining,get_budget_remaining,get_budget_remaining,10824,99,10923,35.36,You have $371.87 left to spend overall this month. Here is your current budget status:  Budget Remai,
7,rgb2kpccEFCfTP6gOAiD,How much money do I have left to spend this month,gemini-3-flash-preview,google,OK,get_budget_remaining,get_budget_remaining,get_budget_remaining,10824,103,10927,19.79,Budget Remaining: FOOD_OUT: $162.92 / $575.00 (28% left) RENT: $0.00 / $1400.00 (0% left) UTILITIES:,
8,eisPuHx9OHkYbRiGKfq6,"17 dollars at Doppio coffee, 25 dollars on therapy",claude-sonnet-4-6,anthropic,REF,"save_expense, save_expense, get_budget_status, get_budget_status","get_budget_status, save_expense","save_expense, save_expense, get_budget_status, get_budget_status",24097,636,24733,20.22,Both saved! Here's a summary:  Saved $17 Doppio coffee (COFFEE) Warning: OVER BUDGET - 188% of COFFE,
8,eisPuHx9OHkYbRiGKfq6,"17 dollars at Doppio coffee, 25 dollars on therapy",claude-haiku-4-5,anthropic,DIFF,(none),"get_budget_status, save_expense","save_expense, save_expense, get_budget_status, get_budget_status",7614,60,7674,7.76,I need your auth token to save these expenses. Could you provide your Firebase auth token?  Once I h,
8,eisPuHx9OHkYbRiGKfq6,"17 dollars at Doppio coffee, 25 dollars on therapy",gpt-5-mini,openai,DIFF,"get_categories, get_categories, get_categories, get_categories, get_categories, get_categories, get_categories, get_categories, get_categories, get_categories","get_budget_status, save_expense","save_expense, save_expense, get_budget_status, get_budget_status",61945,7807,69752,158.0,[max turns reached],
8,eisPuHx9OHkYbRiGKfq6,"17 dollars at Doppio coffee, 25 dollars on therapy",gpt-5.1,openai,DIFF,(none),"get_budget_status, save_expense","save_expense, save_expense, get_budget_status, get_budget_status",5128,122,5250,3.99,"I can save both of those, but I need your auth token to do it.  Reply with your Firebase auth token ",
8,eisPuHx9OHkYbRiGKfq6,"17 dollars at Doppio coffee, 25 dollars on therapy",gemini-3.1-pro-preview,google,DIFF,"save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense","get_budget_status, save_expense","save_expense, save_expense, get_budget_status, get_budget_status",43332,906,44238,112.94,"[ERROR: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota,","429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_requests_per_model, limit: 25, model: gemini-3.1-pro\nPlease retry in 26.751056544s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_requests_per_model', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.1-pro'}, 'quotaValue': '25'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '26s'}]}}"
8,eisPuHx9OHkYbRiGKfq6,"17 dollars at Doppio coffee, 25 dollars on therapy",gemini-3-flash-preview,google,OK,"save_expense, get_budget_status, save_expense, get_budget_status","get_budget_status, save_expense","save_expense, save_expense, get_budget_status, get_budget_status",10370,287,10657,21.41,Saved $17 Doppio coffee (COFFEE) - now at $94.14 in COFFEE Warning: 188% of COFFEE budget used ($44.,
9,3dmwFXwDZzwSbtvAXRJ0,Groceries $80,claude-sonnet-4-6,anthropic,REF,"save_expense, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",23398,318,23716,15.58,"Saved $80 Groceries (GROCERIES) - now at $279 in GROCERIES, budget 70% used ($121 left).",
9,3dmwFXwDZzwSbtvAXRJ0,Groceries $80,claude-haiku-4-5,anthropic,DIFF,(none),"get_budget_status, save_expense","save_expense, get_budget_status",7603,60,7663,5.15,I need your Firebase auth token to save this expense. Could you please provide your auth token?  Onc,
9,3dmwFXwDZzwSbtvAXRJ0,Groceries $80,gpt-5-mini,openai,DIFF,"get_categories, save_expense, get_categories, get_categories, get_categories, get_categories, get_categories, get_categories, save_expense, get_categories","get_budget_status, save_expense","save_expense, get_budget_status",60181,5328,65509,129.27,[max turns reached],
9,3dmwFXwDZzwSbtvAXRJ0,Groceries $80,gpt-5.1,openai,DIFF,(none),"get_budget_status, save_expense","save_expense, get_budget_status",5119,72,5191,6.03,"I can save that, but I need your auth token first.  Reply with your Firebase Auth ID token (just pas",
9,3dmwFXwDZzwSbtvAXRJ0,Groceries $80,gemini-3.1-pro-preview,google,DIFF,"save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense, save_expense","get_budget_status, save_expense","save_expense, get_budget_status",42064,466,42530,104.22,"[ERROR: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota,","429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_requests_per_model, limit: 25, model: gemini-3.1-pro\nPlease retry in 17.501911675s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_requests_per_model', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.1-pro'}, 'quotaValue': '25'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '17s'}]}}"
9,3dmwFXwDZzwSbtvAXRJ0,Groceries $80,gemini-3-flash-preview,google,DIFF,"save_expense, get_categories, save_expense, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",21073,255,21328,36.9,"Saved $80 Groceries (GROCERIES) - now at $282.33 in GROCERIES, $1280.00 total Warning: 70% of GROCER",
10,2fmBemiivWek59bl3IDX,13 at Briney Swine,claude-sonnet-4-6,anthropic,REF,"save_expense, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",23431,325,23756,22.56,Saved $13 Briney Swine (FOOD_OUT) - now at $149.92 left in FOOD_OUT (74% used),
10,2fmBemiivWek59bl3IDX,13 at Briney Swine,claude-haiku-4-5,anthropic,DIFF,(none),"get_budget_status, save_expense","save_expense, get_budget_status",7608,114,7722,5.86,"I need a bit more information to save this expense:  1. What is the full name/description? (e.g., ""B",
10,2fmBemiivWek59bl3IDX,13 at Briney Swine,gpt-5-mini,openai,DIFF,"get_categories, get_categories, get_categories, save_expense, save_expense, save_expense, save_expense, get_categories, get_categories, save_expense","get_budget_status, save_expense","save_expense, get_budget_status",58591,5775,64366,121.57,[max turns reached],
10,2fmBemiivWek59bl3IDX,13 at Briney Swine,gpt-5.1,openai,DIFF,(none),"get_budget_status, save_expense","save_expense, get_budget_status",5122,71,5193,10.59,"Got it. I need a bit more info to save this:  1) Is this for today (Feb 21, 2026)?   2) What categor",
10,2fmBemiivWek59bl3IDX,13 at Briney Swine,gemini-3.1-pro-preview,google,DIFF,(none),"get_budget_status, save_expense","save_expense, get_budget_status",0,0,0,4.61,"[ERROR: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota,","429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_requests_per_model, limit: 25, model: gemini-3.1-pro\nPlease retry in 26.575718015s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_requests_per_model', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.1-pro'}, 'quotaValue': '25'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '26s'}]}}"
10,2fmBemiivWek59bl3IDX,13 at Briney Swine,gemini-3-flash-preview,google,DIFF,"save_expense, save_expense, get_categories, save_expense, get_categories, get_categories, save_expense, get_categories, get_categories, save_expense","get_budget_status, save_expense","save_expense, get_budget_status",56665,434,57099,62.33,[max turns reached],
11,Su7jWMVNyOPzTo0XHzYt,What's my spending this month?,claude-sonnet-4-6,anthropic,REF,get_spending_by_category,get_spending_by_category,"get_spending_by_category, get_spending_summary",17951,1192,19143,25.06,"Here's your spending breakdown for February 1-21, 2026:  Total spent: $2,828.13 (57 transactions)  R",
11,Su7jWMVNyOPzTo0XHzYt,What's my spending this month?,claude-haiku-4-5,anthropic,DIFF,(none),get_spending_by_category,"get_spending_by_category, get_spending_summary",7605,25,7630,6.31,I need your auth token to look up your spending information. Could you please provide your Firebase ,
11,Su7jWMVNyOPzTo0XHzYt,What's my spending this month?,gpt-5-mini,openai,DIFF,"get_spending_summary, get_spending_by_category",get_spending_by_category,"get_spending_by_category, get_spending_summary",12797,2098,14895,38.73,"Spending this month (Feb 1–21, 2026): $2,828.13 across 57 transactions (avg $49.62)  By category: RE",
11,Su7jWMVNyOPzTo0XHzYt,What's my spending this month?,gpt-5.1,openai,DIFF,get_spending_summary,get_spending_by_category,"get_spending_by_category, get_spending_summary",10327,108,10435,11.34,"This month (Feb 1–21, 2026):  Total spending: $2828.13   Number of transactions: 57   Average per tr",
11,Su7jWMVNyOPzTo0XHzYt,What's my spending this month?,gemini-3.1-pro-preview,google,DIFF,"get_spending_summary, get_spending_by_category",get_spending_by_category,"get_spending_by_category, get_spending_summary",12982,199,13181,37.14,Spending this month: $2828.13 (57 transactions)  RENT: $1400.00 (1 transaction) - Rent: $1400.00 (2/,
11,Su7jWMVNyOPzTo0XHzYt,What's my spending this month?,gemini-3-flash-preview,google,DIFF,"get_spending_summary, get_spending_by_category",get_spending_by_category,"get_spending_by_category, get_spending_summary",12982,365,13347,25.94,Spending this month (Feb 1 - Feb 21): $2828.13 (57 transactions)  RENT: $1400.00 (1 transaction) - R,
12,yGcbSHo1Csm7WPKJGmLf,How much have I spent this month,claude-sonnet-4-6,anthropic,REF,"get_spending_summary, get_spending_by_category","get_spending_by_category, get_spending_summary","get_spending_by_category, get_spending_summary",18195,1291,19486,29.13,"Here's your spending summary for February 1-21, 2026:  Total: $2,828.13 across 57 transactions  Brea",
12,yGcbSHo1Csm7WPKJGmLf,How much have I spent this month,claude-haiku-4-5,anthropic,DIFF,get_spending_summary,"get_spending_by_category, get_spending_summary","get_spending_by_category, get_spending_summary",15445,210,15655,11.57,"You've spent 2828.13 this month so far (February 1-21, 2026).  Total: 2828.13 Transactions: 57 Avera",
12,yGcbSHo1Csm7WPKJGmLf,How much have I spent this month,gpt-5-mini,openai,DIFF,get_spending_summary,"get_spending_by_category, get_spending_summary","get_spending_by_category, get_spending_summary",10329,742,11071,16.21,"You’ve spent $2,828.13 so far this month (Feb 1–Feb 21, 2026). Transactions: 57 Average per transact",
12,yGcbSHo1Csm7WPKJGmLf,How much have I spent this month,gpt-5.1,openai,DIFF,get_spending_summary,"get_spending_by_category, get_spending_summary","get_spending_by_category, get_spending_summary",10329,111,10440,6.35,"This month (Feb 1–21, 2026), you’ve spent:  Total: $2828.13   Number of transactions: 57   Average p",
12,yGcbSHo1Csm7WPKJGmLf,How much have I spent this month,gemini-3.1-pro-preview,google,DIFF,get_spending_summary,"get_spending_by_category, get_spending_summary","get_spending_by_category, get_spending_summary",10298,96,10394,16.61,You have spent a total of $2828.13 this month across 57 transactions. Your average spending per tran,
12,yGcbSHo1Csm7WPKJGmLf,How much have I spent this month,gemini-3-flash-preview,google,DIFF,get_spending_summary,"get_spending_by_category, get_spending_summary","get_spending_by_category, get_spending_summary",10298,103,10401,11.46,Spending this month (2/1 to 2/21): Total: $2828.13 Transactions: 57 Average per transaction: $49.62,
13,rltcf4OIKJX2XISzXaR9,18 dollars at Trader Joes,claude-sonnet-4-6,anthropic,REF,"save_expense, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",23435,329,23764,14.1,"Saved $18 Trader Joe's groceries (GROCERIES) - now at $217 in GROCERIES, 54% of budget used ($183 le",
13,rltcf4OIKJX2XISzXaR9,18 dollars at Trader Joes,claude-haiku-4-5,anthropic,OK,"save_expense, get_budget_status","get_budget_status, save_expense","save_expense, get_budget_status",15653,345,15998,11.46,"Saved $18 Trader Joes groceries (GROCERIES) - now at $317 in GROCERIES, total spending updated.  You",
13,rltcf4OIKJX2XISzXaR9,18 dollars at Trader Joes,gpt-5-mini,openai,DIFF,"get_categories, get_categories, get_categories, save_expense, get_categories, get_categories, get_categories, save_expense, get_categories, get_categories","get_budget_status, save_expense","save_expense, get_budget_status",60403,5167,65570,124.61,[max turns reached],
